repeat,components,method,accuracy
0,1,2DPCA,0.7321428571428571
0,2,2DPCA,0.6785714285714286
0,3,2DPCA,0.7285714285714285
0,4,2DPCA,0.7785714285714286
0,5,2DPCA,0.8035714285714286
0,6,2DPCA,0.8142857142857143
0,8,2DPCA,0.8071428571428572
0,10,2DPCA,0.8035714285714286
0,12,2DPCA,0.7964285714285714
1,1,2DPCA,0.7535714285714286
1,2,2DPCA,0.6928571428571428
1,3,2DPCA,0.75
1,4,2DPCA,0.7857142857142857
1,5,2DPCA,0.8107142857142857
1,6,2DPCA,0.8071428571428572
1,8,2DPCA,0.8214285714285714
1,10,2DPCA,0.8071428571428572
1,12,2DPCA,0.7928571428571428
2,1,2DPCA,0.7607142857142857
2,2,2DPCA,0.7142857142857143
2,3,2DPCA,0.775
2,4,2DPCA,0.8071428571428572
2,5,2DPCA,0.8071428571428572
2,6,2DPCA,0.8285714285714286
2,8,2DPCA,0.8321428571428572
2,10,2DPCA,0.8178571428571428
2,12,2DPCA,0.8035714285714286
3,1,2DPCA,0.7464285714285714
3,2,2DPCA,0.6714285714285714
3,3,2DPCA,0.7321428571428571
3,4,2DPCA,0.7964285714285714
3,5,2DPCA,0.8
3,6,2DPCA,0.8071428571428572
3,8,2DPCA,0.8
3,10,2DPCA,0.7928571428571428
3,12,2DPCA,0.7892857142857143
4,1,2DPCA,0.7964285714285714
4,2,2DPCA,0.7392857142857143
4,3,2DPCA,0.8178571428571428
4,4,2DPCA,0.8535714285714285
4,5,2DPCA,0.8571428571428571
4,6,2DPCA,0.8607142857142858
4,8,2DPCA,0.8678571428571429
4,10,2DPCA,0.8714285714285714
4,12,2DPCA,0.8678571428571429
5,1,2DPCA,0.75
5,2,2DPCA,0.6571428571428571
5,3,2DPCA,0.75
5,4,2DPCA,0.8
5,5,2DPCA,0.8
5,6,2DPCA,0.7964285714285714
5,8,2DPCA,0.8107142857142857
5,10,2DPCA,0.8
5,12,2DPCA,0.7928571428571428
6,1,2DPCA,0.7928571428571428
6,2,2DPCA,0.7142857142857143
6,3,2DPCA,0.7357142857142858
6,4,2DPCA,0.7785714285714286
6,5,2DPCA,0.7785714285714286
6,6,2DPCA,0.8035714285714286
6,8,2DPCA,0.7964285714285714
6,10,2DPCA,0.8035714285714286
6,12,2DPCA,0.8
7,1,2DPCA,0.7857142857142857
7,2,2DPCA,0.7035714285714286
7,3,2DPCA,0.7535714285714286
7,4,2DPCA,0.8107142857142857
7,5,2DPCA,0.8071428571428572
7,6,2DPCA,0.8035714285714286
7,8,2DPCA,0.8142857142857143
7,10,2DPCA,0.8071428571428572
7,12,2DPCA,0.8107142857142857
8,1,2DPCA,0.8
8,2,2DPCA,0.7071428571428572
8,3,2DPCA,0.7642857142857142
8,4,2DPCA,0.8214285714285714
8,5,2DPCA,0.8
8,6,2DPCA,0.8035714285714286
8,8,2DPCA,0.8178571428571428
8,10,2DPCA,0.8071428571428572
8,12,2DPCA,0.7964285714285714
9,1,2DPCA,0.7464285714285714
9,2,2DPCA,0.675
9,3,2DPCA,0.7357142857142858
9,4,2DPCA,0.7928571428571428
9,5,2DPCA,0.7892857142857143
9,6,2DPCA,0.7928571428571428
9,8,2DPCA,0.8035714285714286
9,10,2DPCA,0.7928571428571428
9,12,2DPCA,0.7857142857142857
