repeat,train_per_class,method,accuracy
0,1,PCA,0.44166666666666665
0,1,2DPCA,0.55
0,2,PCA,0.603125
0,2,2DPCA,0.715625
0,3,PCA,0.7642857142857142
0,3,2DPCA,0.8321428571428572
0,4,PCA,0.7708333333333334
0,4,2DPCA,0.8666666666666667
0,5,PCA,0.83
0,5,2DPCA,0.88
1,1,PCA,0.5277777777777778
1,1,2DPCA,0.6138888888888889
1,2,PCA,0.6875
1,2,2DPCA,0.725
1,3,PCA,0.7464285714285714
1,3,2DPCA,0.8142857142857143
1,4,PCA,0.8208333333333333
1,4,2DPCA,0.8541666666666666
1,5,PCA,0.885
1,5,2DPCA,0.895
2,1,PCA,0.49444444444444446
2,1,2DPCA,0.55
2,2,PCA,0.68125
2,2,2DPCA,0.734375
2,3,PCA,0.775
2,3,2DPCA,0.7857142857142857
2,4,PCA,0.8583333333333333
2,4,2DPCA,0.8875
2,5,PCA,0.87
2,5,2DPCA,0.885
3,1,PCA,0.5611111111111111
3,1,2DPCA,0.6111111111111112
3,2,PCA,0.60625
3,2,2DPCA,0.71875
3,3,PCA,0.7178571428571429
3,3,2DPCA,0.8
3,4,PCA,0.8166666666666667
3,4,2DPCA,0.8458333333333333
3,5,PCA,0.855
3,5,2DPCA,0.905
4,1,PCA,0.5333333333333333
4,1,2DPCA,0.6
4,2,PCA,0.7125
4,2,2DPCA,0.78125
4,3,PCA,0.7892857142857143
4,3,2DPCA,0.8285714285714286
4,4,PCA,0.8583333333333333
4,4,2DPCA,0.8791666666666667
4,5,PCA,0.81
4,5,2DPCA,0.87
5,1,PCA,0.5194444444444445
5,1,2DPCA,0.5666666666666667
5,2,PCA,0.621875
5,2,2DPCA,0.690625
5,3,PCA,0.775
5,3,2DPCA,0.8464285714285714
5,4,PCA,0.8208333333333333
5,4,2DPCA,0.8833333333333333
5,5,PCA,0.865
5,5,2DPCA,0.915
6,1,PCA,0.5138888888888888
6,1,2DPCA,0.5805555555555556
6,2,PCA,0.671875
6,2,2DPCA,0.759375
6,3,PCA,0.7464285714285714
6,3,2DPCA,0.775
6,4,PCA,0.7958333333333333
6,4,2DPCA,0.8458333333333333
6,5,PCA,0.84
6,5,2DPCA,0.87
7,1,PCA,0.5444444444444444
7,1,2DPCA,0.5972222222222222
7,2,PCA,0.684375
7,2,2DPCA,0.74375
7,3,PCA,0.7571428571428571
7,3,2DPCA,0.7928571428571428
7,4,PCA,0.775
7,4,2DPCA,0.8375
7,5,PCA,0.845
7,5,2DPCA,0.9
8,1,PCA,0.5694444444444444
8,1,2DPCA,0.6277777777777778
8,2,PCA,0.665625
8,2,2DPCA,0.75625
8,3,PCA,0.8035714285714286
8,3,2DPCA,0.8392857142857143
8,4,PCA,0.8458333333333333
8,4,2DPCA,0.8791666666666667
8,5,PCA,0.815
8,5,2DPCA,0.855
9,1,PCA,0.48055555555555557
9,1,2DPCA,0.5805555555555556
9,2,PCA,0.7
9,2,2DPCA,0.759375
9,3,PCA,0.7785714285714286
9,3,2DPCA,0.8178571428571428
9,4,PCA,0.8333333333333334
9,4,2DPCA,0.8708333333333333
9,5,PCA,0.85
9,5,2DPCA,0.895
