repeat,components,method,accuracy
0,1,2DPCA,0.8535714285714285
0,2,2DPCA,0.8964285714285715
0,3,2DPCA,0.8964285714285715
0,4,2DPCA,0.8964285714285715
0,5,2DPCA,0.8928571428571429
0,6,2DPCA,0.8892857142857142
0,7,2DPCA,0.8678571428571429
0,8,2DPCA,0.8714285714285714
0,10,2DPCA,0.8642857142857143
0,12,2DPCA,0.8607142857142858
0,14,2DPCA,0.8571428571428571
0,16,2DPCA,0.8607142857142858
0,20,2DPCA,0.8571428571428571
1,1,2DPCA,0.8178571428571428
1,2,2DPCA,0.9
1,3,2DPCA,0.8964285714285715
1,4,2DPCA,0.8928571428571429
1,5,2DPCA,0.8857142857142857
1,6,2DPCA,0.8857142857142857
1,7,2DPCA,0.8821428571428571
1,8,2DPCA,0.8928571428571429
1,10,2DPCA,0.8714285714285714
1,12,2DPCA,0.8785714285714286
1,14,2DPCA,0.8928571428571429
1,16,2DPCA,0.8892857142857142
1,20,2DPCA,0.8642857142857143
2,1,2DPCA,0.8321428571428572
2,2,2DPCA,0.9
2,3,2DPCA,0.8964285714285715
2,4,2DPCA,0.9071428571428571
2,5,2DPCA,0.9
2,6,2DPCA,0.9178571428571428
2,7,2DPCA,0.8857142857142857
2,8,2DPCA,0.875
2,10,2DPCA,0.8857142857142857
2,12,2DPCA,0.8821428571428571
2,14,2DPCA,0.875
2,16,2DPCA,0.8678571428571429
2,20,2DPCA,0.8714285714285714
3,1,2DPCA,0.8107142857142857
3,2,2DPCA,0.9
3,3,2DPCA,0.9107142857142857
3,4,2DPCA,0.9178571428571428
3,5,2DPCA,0.8964285714285715
3,6,2DPCA,0.8928571428571429
3,7,2DPCA,0.8964285714285715
3,8,2DPCA,0.8928571428571429
3,10,2DPCA,0.8857142857142857
3,12,2DPCA,0.8785714285714286
3,14,2DPCA,0.875
3,16,2DPCA,0.8678571428571429
3,20,2DPCA,0.8678571428571429
4,1,2DPCA,0.8571428571428571
4,2,2DPCA,0.9071428571428571
4,3,2DPCA,0.9
4,4,2DPCA,0.9214285714285714
4,5,2DPCA,0.9142857142857143
4,6,2DPCA,0.9107142857142857
4,7,2DPCA,0.8928571428571429
4,8,2DPCA,0.8821428571428571
4,10,2DPCA,0.8857142857142857
4,12,2DPCA,0.8785714285714286
4,14,2DPCA,0.8714285714285714
4,16,2DPCA,0.8642857142857143
4,20,2DPCA,0.8428571428571429
5,1,2DPCA,0.8571428571428571
5,2,2DPCA,0.8928571428571429
5,3,2DPCA,0.8964285714285715
5,4,2DPCA,0.9142857142857143
5,5,2DPCA,0.9071428571428571
5,6,2DPCA,0.8964285714285715
5,7,2DPCA,0.8892857142857142
5,8,2DPCA,0.9035714285714286
5,10,2DPCA,0.8964285714285715
5,12,2DPCA,0.8857142857142857
5,14,2DPCA,0.8821428571428571
