components,method,mean_accuracy,std_accuracy
1,2DPCA,0.8361904761904762,0.021870108950203783
2,2DPCA,0.9051190476190476,0.016664174104019745
3,2DPCA,0.9002380952380952,0.019560020886419727
4,2DPCA,0.9094047619047619,0.01628506970175995
5,2DPCA,0.9049999999999999,0.020604004038214406
6,2DPCA,0.9017857142857142,0.019779529007769022
7,2DPCA,0.8903571428571428,0.022532133594823534
8,2DPCA,0.8927380952380953,0.021683283654786997
10,2DPCA,0.8873809523809524,0.023045203363747355
12,2DPCA,0.8820238095238095,0.025227384876150373
14,2DPCA,0.8778571428571429,0.024892449869805097
16,2DPCA,0.8729761904761905,0.025456482256148674
20,2DPCA,0.8657142857142858,0.0263215112858049
