repeat,train_per_class,method,accuracy
0,3,PCA,0.8678571428571429
0,3,2DPCA,0.8714285714285714
0,4,PCA,0.9333333333333333
0,4,2DPCA,0.9375
0,5,PCA,0.94
0,5,2DPCA,0.935
1,3,PCA,0.8714285714285714
1,3,2DPCA,0.8928571428571429
1,4,PCA,0.9166666666666666
1,4,2DPCA,0.9458333333333333
1,5,PCA,0.92
1,5,2DPCA,0.95
2,3,PCA,0.875
2,3,2DPCA,0.8892857142857142
2,4,PCA,0.9041666666666667
2,4,2DPCA,0.9375
2,5,PCA,0.965
2,5,2DPCA,0.955
3,3,PCA,0.9107142857142857
3,3,2DPCA,0.9392857142857143
3,4,PCA,0.9291666666666667
3,4,2DPCA,0.9333333333333333
3,5,PCA,0.94
3,5,2DPCA,0.935
4,3,PCA,0.8464285714285714
4,3,2DPCA,0.8714285714285714
4,4,PCA,0.9166666666666666
4,4,2DPCA,0.9416666666666667
4,5,PCA,0.96
4,5,2DPCA,0.955
5,3,PCA,0.875
5,3,2DPCA,0.9214285714285714
5,4,PCA,0.9541666666666667
5,4,2DPCA,0.9666666666666667
5,5,PCA,0.935
5,5,2DPCA,0.945
6,3,PCA,0.9107142857142857
6,3,2DPCA,0.9464285714285714
6,4,PCA,0.9041666666666667
6,4,2DPCA,0.9041666666666667
6,5,PCA,0.945
6,5,2DPCA,0.96
7,3,PCA,0.8607142857142858
7,3,2DPCA,0.8607142857142858
7,4,PCA,0.925
7,4,2DPCA,0.9333333333333333
7,5,PCA,0.935
7,5,2DPCA,0.965
8,3,PCA,0.9071428571428571
8,3,2DPCA,0.9142857142857143
8,4,PCA,0.9
8,4,2DPCA,0.925
8,5,PCA,0.955
8,5,2DPCA,0.97
9,3,PCA,0.8642857142857143
9,3,2DPCA,0.9035714285714286
9,4,PCA,0.8916666666666667
9,4,2DPCA,0.9125
9,5,PCA,0.93
9,5,2DPCA,0.945
10,3,PCA,0.8571428571428571
10,3,2DPCA,0.8892857142857142
10,4,PCA,0.95
10,4,2DPCA,0.9666666666666667
10,5,PCA,0.925
10,5,2DPCA,0.94
11,3,PCA,0.875
11,3,2DPCA,0.9071428571428571
11,4,PCA,0.9416666666666667
11,4,2DPCA,0.9541666666666667
11,5,PCA,0.91
11,5,2DPCA,0.92
12,3,PCA,0.8857142857142857
12,3,2DPCA,0.8964285714285715
12,4,PCA,0.8791666666666667
12,4,2DPCA,0.8958333333333334
12,5,PCA,0.955
12,5,2DPCA,0.955
13,3,PCA,0.8285714285714286
13,3,2DPCA,0.8607142857142858
13,4,PCA,0.9166666666666666
13,4,2DPCA,0.9208333333333333
13,5,PCA,0.94
13,5,2DPCA,0.94
14,3,PCA,0.875
14,3,2DPCA,0.9107142857142857
14,4,PCA,0.9291666666666667
14,4,2DPCA,0.95
14,5,PCA,0.94
14,5,2DPCA,0.955
15,3,PCA,0.8785714285714286
15,3,2DPCA,0.9107142857142857
15,4,PCA,0.925
15,4,2DPCA,0.925
15,5,PCA,0.95
15,5,2DPCA,0.965
16,3,PCA,0.8428571428571429
16,3,2DPCA,0.8821428571428571
16,4,PCA,0.8958333333333334
16,4,2DPCA,0.9166666666666666
16,5,PCA,0.955
16,5,2DPCA,0.96
17,3,PCA,0.85
17,3,2DPCA,0.8785714285714286
17,4,PCA,0.9083333333333333
17,4,2DPCA,0.9208333333333333
17,5,PCA,0.93
17,5,2DPCA,0.935
18,3,PCA,0.9071428571428571
18,3,2DPCA,0.9321428571428572
18,4,PCA,0.9291666666666667
18,4,2DPCA,0.9375
18,5,PCA,0.955
18,5,2DPCA,0.965
19,3,PCA,0.8928571428571429
19,3,2DPCA,0.8928571428571429
19,4,PCA,0.95
19,4,2DPCA,0.9583333333333334
19,5,PCA,0.925
19,5,2DPCA,0.935
20,3,PCA,0.8892857142857142
20,3,2DPCA,0.9142857142857143
20,4,PCA,0.9125
20,4,2DPCA,0.9333333333333333
20,5,PCA,0.95
20,5,2DPCA,0.945
21,3,PCA,0.8535714285714285
21,3,2DPCA,0.8892857142857142
21,4,PCA,0.9125
21,4,2DPCA,0.9333333333333333
21,5,PCA,0.935
21,5,2DPCA,0.95
22,3,PCA,0.8642857142857143
22,3,2DPCA,0.8892857142857142
22,4,PCA,0.9
22,4,2DPCA,0.9208333333333333
22,5,PCA,0.92
22,5,2DPCA,0.935
23,3,PCA,0.85
23,3,2DPCA,0.8964285714285715
23,4,PCA,0.9375
23,4,2DPCA,0.9333333333333333
23,5,PCA,0.925
23,5,2DPCA,0.96
24,3,PCA,0.9
24,3,2DPCA,0.9142857142857143
24,4,PCA,0.9208333333333333
24,4,2DPCA,0.9416666666666667
24,5,PCA,0.92
24,5,2DPCA,0.935
25,3,PCA,0.8785714285714286
25,3,2DPCA,0.8857142857142857
25,4,PCA,0.8833333333333333
25,4,2DPCA,0.9041666666666667
25,5,PCA,0.885
25,5,2DPCA,0.895
26,3,PCA,0.8857142857142857
26,3,2DPCA,0.8928571428571429
26,4,PCA,0.9083333333333333
26,4,2DPCA,0.9125
26,5,PCA,0.92
26,5,2DPCA,0.945
27,3,PCA,0.8392857142857143
27,3,2DPCA,0.8571428571428571
27,4,PCA,0.9166666666666666
27,4,2DPCA,0.9291666666666667
27,5,PCA,0.915
27,5,2DPCA,0.92
28,3,PCA,0.875
28,3,2DPCA,0.9214285714285714
28,4,PCA,0.9125
28,4,2DPCA,0.9375
28,5,PCA,0.925
28,5,2DPCA,0.935
29,3,PCA,0.8678571428571429
29,3,2DPCA,0.8821428571428571
29,4,PCA,0.9458333333333333
29,4,2DPCA,0.9625
29,5,PCA,0.95
29,5,2DPCA,0.95
