s,method,avg_query_ms,stddev_ms,ci95_ms,avg_candidates,avg_recall_at_k,avg_index_build_ms
10,baseline_full_scan_heap,1.72746,0.170311,0.0417262,29999,1,9.11436
10,inverted_exact,0.0139953,0.00246657,0.000604309,298.562,1,9.11436
10,two_stage_recall_rerank,0.0498141,0.0073828,0.00180878,298.562,1,9.11436
20,baseline_full_scan_heap,4.07588,0.707735,0.173395,29999,1,20.2844
20,inverted_exact,0.0450688,0.0117489,0.00287847,1179.17,1,20.2844
20,two_stage_recall_rerank,0.312592,0.0805095,0.0197248,1179.17,1,20.2844
40,baseline_full_scan_heap,7.60448,0.303064,0.0742507,29999,1,34.6786
40,inverted_exact,0.189703,0.0197031,0.00482726,4450.45,1,34.6786
40,two_stage_recall_rerank,1.00751,0.0934025,0.0228836,2000,1,34.6786
80,baseline_full_scan_heap,16.5823,1.19075,0.291733,29999,1,76.1199
80,inverted_exact,0.710597,0.0970503,0.0237773,14264.1,1,76.1199
80,two_stage_recall_rerank,2.23442,0.236268,0.0578856,2000,1,76.1199
160,baseline_full_scan_heap,32.9715,1.49878,0.367201,29999,1,166.505
160,inverted_exact,1.56198,0.15435,0.0378158,27771.6,1,166.505
160,two_stage_recall_rerank,3.85332,0.270618,0.0663014,2000,0.998437,166.505
320,baseline_full_scan_heap,66.4078,7.88904,1.93281,29999,1,342.907
320,inverted_exact,2.44854,0.265615,0.0650757,29998.3,1,342.907
320,two_stage_recall_rerank,6.76727,0.720529,0.176529,2000,0.9375,342.907
