s,method,avg_ms,stddev_ms,ci95_ms,speedup_vs_baseline,avg_candidates,avg_overlap_at_k
20,baseline_scan_aos_double,2.81781,0.267218,0.0872912,1,19999,1
20,code_only_scan_csr_float,2.29483,0.167285,0.0546465,1.22789,19999,1
20,algo_only_inverted_aos,0.0361361,0.00900778,0.00294254,77.9776,782.972,1
20,combined_inverted_csr_float,0.0291778,0.0142458,0.00465364,96.5737,782.972,1
40,baseline_scan_aos_double,5.93335,0.248136,0.0810577,1,19999,1
40,code_only_scan_csr_float,4.8991,0.232531,0.0759603,1.21111,19999,1
40,algo_only_inverted_aos,0.120342,0.00835975,0.00273085,49.3042,2984.5,1
40,combined_inverted_csr_float,0.0992417,0.0123164,0.00402337,59.7869,2984.5,1
80,baseline_scan_aos_double,12.2416,0.809829,0.264544,1,19999,1
80,code_only_scan_csr_float,10.1034,0.753675,0.2462,1.21163,19999,1
80,algo_only_inverted_aos,0.487517,0.046872,0.0153115,25.1101,9521.42,1
80,combined_inverted_csr_float,0.423733,0.0570947,0.0186509,28.8899,9521.42,1
160,baseline_scan_aos_double,24.3026,0.730158,0.238518,1,19999,1
160,code_only_scan_csr_float,19.97,0.585621,0.191303,1.21695,19999,1
160,algo_only_inverted_aos,1.11883,0.153727,0.0502174,21.7214,18511.2,1
160,combined_inverted_csr_float,0.950311,0.11659,0.0380861,25.5733,18511.2,1
320,baseline_scan_aos_double,48.7541,1.54166,0.50361,1,19999,1
320,code_only_scan_csr_float,40.1189,1.13191,0.369756,1.21524,19999,1
320,algo_only_inverted_aos,1.7293,0.137743,0.0449959,28.1929,19998.6,1
320,combined_inverted_csr_float,1.38793,0.105533,0.0344742,35.1273,19998.6,1
