k,n,algorithm,avg_ms,stddev_ms,ci95_ms,theory_ms,ratio_to_baseline
10,5000,baseline_full_sort,0.262505,0.0484508,0.0212345,0.343404,0.0363608
10,5000,optimized_topk_heap,0.082255,0.0187086,0.00819939,0.115097,0.0357343
10,10000,baseline_full_sort,0.50456,0.0468871,0.0205492,0.694932,0.0698889
10,10000,optimized_topk_heap,0.143,0.0146713,0.00642997,0.230189,0.0621239
10,15000,baseline_full_sort,0.790405,0.0477596,0.0209316,1.04953,0.109483
10,15000,optimized_topk_heap,0.21724,0.0221435,0.00970482,0.345281,0.0943763
10,20000,baseline_full_sort,1.04906,0.0480961,0.021079,1.40612,0.14531
10,20000,optimized_topk_heap,0.26662,0.0162671,0.00712937,0.460374,0.115829
10,25000,baseline_full_sort,1.37387,0.0801905,0.035145,1.7642,0.190301
10,25000,optimized_topk_heap,0.36434,0.048837,0.0214037,0.575466,0.158281
10,30000,baseline_full_sort,1.65865,0.0779537,0.0341647,2.12345,0.229748
10,30000,optimized_topk_heap,0.407285,0.0165809,0.00726689,0.690558,0.176938
10,35000,baseline_full_sort,2.09244,0.449643,0.197065,2.48369,0.289833
10,35000,optimized_topk_heap,0.505155,0.0733771,0.0321589,0.80565,0.219456
10,40000,baseline_full_sort,2.4048,0.311262,0.136417,2.84477,0.3331
10,40000,optimized_topk_heap,0.615355,0.0930976,0.0408018,0.920743,0.267331
10,60000,baseline_full_sort,4.06125,0.447171,0.195981,4.29571,0.562542
10,60000,optimized_topk_heap,1.29424,0.320931,0.140654,1.38111,0.562259
10,80000,baseline_full_sort,5.56926,0.280003,0.122717,5.75462,0.771424
10,80000,optimized_topk_heap,1.68739,0.184126,0.0806966,1.84148,0.73306
10,100000,baseline_full_sort,7.21945,0.420544,0.184312,7.21945,1
10,100000,optimized_topk_heap,2.30185,0.437943,0.191937,2.30185,1
50,5000,baseline_full_sort,0.236495,0.0294397,0.0129025,0.343942,0.0327111
50,5000,optimized_topk_heap,0.09042,0.0381228,0.0167081,0.111884,0.040415
50,10000,baseline_full_sort,0.50273,0.0509494,0.0223295,0.695971,0.0695357
50,10000,optimized_topk_heap,0.15666,0.0292857,0.012835,0.223748,0.0700222
50,15000,baseline_full_sort,0.77628,0.0480159,0.0210439,1.05108,0.107372
50,15000,optimized_topk_heap,0.214535,0.0136708,0.00599148,0.335611,0.0958906
50,20000,baseline_full_sort,1.04762,0.0324708,0.0142309,1.40818,0.144903
50,20000,optimized_topk_heap,0.29041,0.0276471,0.0121169,0.447475,0.129804
50,25000,baseline_full_sort,1.35575,0.106785,0.0468005,1.76676,0.187522
50,25000,optimized_topk_heap,0.353655,0.0271167,0.0118844,0.559338,0.158073
50,30000,baseline_full_sort,1.67994,0.148463,0.0650667,2.12653,0.232363
50,30000,optimized_topk_heap,0.433125,0.0392423,0.0171987,0.671202,0.193594
50,35000,baseline_full_sort,1.96128,0.123874,0.05429,2.48729,0.271277
50,35000,optimized_topk_heap,0.517995,0.0705403,0.0309156,0.783065,0.231528
50,40000,baseline_full_sort,2.2962,0.320799,0.140596,2.84888,0.317602
50,40000,optimized_topk_heap,0.61413,0.171375,0.0751086,0.894928,0.274497
50,60000,baseline_full_sort,3.92823,0.535188,0.234556,4.30189,0.543338
50,60000,optimized_topk_heap,1.14919,0.312935,0.13715,1.34238,0.513653
50,80000,baseline_full_sort,5.80088,0.442006,0.193718,5.76288,0.802356
50,80000,optimized_topk_heap,1.92283,0.458549,0.200968,1.78984,0.859444
50,100000,baseline_full_sort,7.22981,0.49202,0.215637,7.22981,1
50,100000,optimized_topk_heap,2.23729,0.127737,0.0559832,2.23729,1
100,5000,baseline_full_sort,0.23207,0.0225591,0.00988697,0.344594,0.0320435
100,5000,optimized_topk_heap,0.09095,0.0144111,0.00631595,0.117322,0.0387742
100,10000,baseline_full_sort,0.500295,0.0408462,0.0179017,0.697231,0.0690791
100,10000,optimized_topk_heap,0.169855,0.0595024,0.0260781,0.234602,0.0724134
100,15000,baseline_full_sort,0.843285,0.13383,0.0586535,1.05295,0.116438
100,15000,optimized_topk_heap,0.270155,0.0606204,0.026568,0.351881,0.115174
100,20000,baseline_full_sort,1.07204,0.0863004,0.0378228,1.41067,0.148025
100,20000,optimized_topk_heap,0.36972,0.191933,0.0841181,0.46916,0.157621
100,25000,baseline_full_sort,1.43737,0.146371,0.06415,1.76987,0.198468
100,25000,optimized_topk_heap,0.421565,0.0953859,0.0418047,0.58644,0.179724
100,30000,baseline_full_sort,1.60783,0.131411,0.0575936,2.13026,0.222003
100,30000,optimized_topk_heap,0.438115,0.0403808,0.0176977,0.703719,0.186779
100,35000,baseline_full_sort,2.17749,0.631204,0.276638,2.49164,0.300661
100,35000,optimized_topk_heap,0.6334,0.208283,0.091284,0.820998,0.270034
100,40000,baseline_full_sort,2.46464,0.169656,0.074355,2.85386,0.34031
100,40000,optimized_topk_heap,0.774515,0.171397,0.0751179,0.938278,0.330195
100,60000,baseline_full_sort,3.79253,0.305351,0.133826,4.30937,0.52366
100,60000,optimized_topk_heap,1.21695,0.182,0.0797648,1.4074,0.518818
100,80000,baseline_full_sort,5.56432,0.367298,0.160975,5.77288,0.768304
100,80000,optimized_topk_heap,1.73706,0.260688,0.114252,1.87651,0.740549
100,100000,baseline_full_sort,7.24235,0.532876,0.233543,7.24235,1
100,100000,optimized_topk_heap,2.34563,0.346682,0.15194,2.34563,1
