n,d,k,s,algorithm,avg_ms,stddev_ms,ci95_ms,theory_ms,speedup_vs_baseline
30000,10000,10,5,baseline_full_sort,1.05525,0.137164,0.0776077,2.78284,1
30000,10000,10,5,optimized_topk_heap,0.792833,0.150656,0.0852419,1.53183,1.33099
30000,10000,10,10,baseline_full_sort,2.0254,0.275614,0.155944,3.69172,1
30000,10000,10,10,optimized_topk_heap,1.60447,0.209036,0.118273,2.58062,1.26235
30000,10000,10,20,baseline_full_sort,4.34002,0.251652,0.142385,5.50947,1
30000,10000,10,20,optimized_topk_heap,3.95596,0.749273,0.423941,4.67818,1.09708
30000,10000,10,40,baseline_full_sort,9.14497,0.408339,0.23104,9.14497,1
30000,10000,10,40,optimized_topk_heap,8.87331,0.328751,0.186008,8.87331,1.03062
30000,10000,10,80,baseline_full_sort,19.2726,0.670535,0.379391,16.416,1
30000,10000,10,80,optimized_topk_heap,18.3852,0.654821,0.3705,17.2636,1.04827
30000,10000,10,160,baseline_full_sort,39.319,2.68019,1.51646,30.958,1
30000,10000,10,160,optimized_topk_heap,37.0332,0.882676,0.499421,34.0441,1.06172
30000,10000,10,320,baseline_full_sort,75.8257,1.60439,0.907767,60.0419,1
30000,10000,10,320,optimized_topk_heap,75.4021,2.24134,1.26816,67.6051,1.00562
