depth,left,right,mid_x,strip_left,strip_right,best_dist
5,3,7,-898.358355485738,-1003.3615552258848,-793.35515574559122,105.00319974014675
4,0,7,-927.7012131062711,-939.39756691873629,-916.00485929380591,11.696353812465233
5,7,11,-867.5072018841006,-1108.5763577083894,-626.43804605981177,241.06915582428883
5,11,15,-814.26974588560734,-1692.576658718639,64.037166947424453,878.30691283303179
4,7,15,-844.41314546635499,-887.85833971370175,-800.96795121900823,43.44519424734672
3,0,15,-886.4467567581039,-898.14311057056909,-874.75040294563871,11.696353812465233
5,18,22,-751.9773187051278,-1780.3443395670208,276.38970215676522,1028.367020861893
4,15,22,-768.42911138622867,-898.51043862126539,-638.34778415119195,130.08132723503678
5,22,26,-662.77279946667295,-890.88021152190845,-434.66538741143745,228.10741205523553
5,26,30,-546.68796191304023,-699.52343098094309,-393.85249284513736,152.83546906790286
4,22,30,-610.80442384090338,-752.37070037090734,-469.23814731089942,141.56627653000399
3,15,30,-701.49703444849342,-752.38314808900452,-650.61092080798232,50.886113640511077
2,0,30,-790.09179972528818,-801.78815353775337,-778.39544591282299,11.696353812465233
5,33,37,-395.77560273985682,-501.8210597230825,-289.73014575663115,106.04545698322569
4,30,37,-439.44704943759245,-545.29871895759175,-333.59537991759316,105.85166951999931
5,37,41,-335.22933718161528,-521.39267501295535,-149.06599935027515,186.16333783134013
5,41,45,-284.34391551811109,-355.24560470726539,-213.44222632895679,70.901689189154283
4,37,45,-307.1830469361239,-378.0847361252782,-236.2813577469696,70.901689189154283
3,30,45,-340.54673714755847,-411.44842633671277,-269.64504795840418,70.901689189154283
5,48,52,-164.66625191567084,-360.86804992001839,31.53554608867671,196.20179800434755
4,45,52,-187.23206329400216,-256.00834323169983,-118.45578335630448,68.77627993769768
5,52,56,-98.748329033983964,-241.66852721200524,44.171869144037316,142.92019817802128
5,56,60,-8.8883591302554805,-539.81393313973513,522.03721487922417,530.92557400947965
4,52,60,-87.919239152254363,-202.33096628516785,26.492487980659121,114.41172713291348
3,45,60,-115.09821493191816,-151.8545259623242,-78.341903901512111,36.756311030406053
2,30,60,-238.87908011906086,-275.6353911494669,-202.12276908865482,36.756311030406053
1,0,60,-504.63704659234907,-516.33340040481426,-492.94069277988382,11.696353812465233
5,63,67,184.63673009522995,-364.86234581947406,734.13580600993396,549.49907591470401
4,60,67,55.148025954527839,-146.34772913842372,256.64378104747937,201.49575509295155
5,67,71,223.72988866013384,-496.17573447081315,943.63551179108083,719.90562313094699
5,71,75,313.45090507668715,28.74742455844131,598.15438559493305,284.70348051824584
4,67,75,273.9097574015118,153.11853187523252,394.70098292779107,120.79122552627926
3,60,75,209.07739186111166,164.50695523084991,253.64782849137342,44.57043663026176
5,78,82,381.95203262897053,-140.30597289804416,904.21003815598522,522.25800552701469
4,75,82,363.51612167610369,183.11486006024688,543.9173832919605,180.40126161585681
5,82,86,461.63667411015626,8.9887590436479741,914.28458917666455,452.64791506650829
5,86,90,554.12321345378541,386.61890188635044,721.62752502122044,167.50431156743497
4,82,90,531.06228762291857,488.35784831387912,573.76672693195803,42.704439309039465
3,75,90,394.20439243911119,351.49995313007173,436.90883174815065,42.704439309039465
2,60,90,325.33005799065563,282.62561868161617,368.03449729969509,42.704439309039465
5,93,97,684.11280967826997,572.65538347799088,795.57023587854906,111.4574262002791
4,90,97,617.25743593435072,505.80000973407164,728.71486213462981,111.4574262002791
5,97,101,759.4246540246113,187.94371136211578,1330.9055966871069,571.48094266249552
5,101,105,797.5008562927901,692.54122200127756,902.46049058430265,104.95963429151253
4,97,105,786.46486259364792,699.36031272200296,873.56941246529288,87.104549871644949
3,90,105,739.15392748825411,689.31251793520971,788.99533704129851,49.841409553044429
5,108,112,857.17122883084949,705.60087786786528,1008.7415797938337,151.57035096298418
4,105,112,836.13213426343941,741.82667318725203,930.4375953396268,94.305461076187427
5,112,116,945.83305777641635,774.06677487489139,1117.5993406779412,171.76628290152496
5,116,120,987.82031788447762,792.54996687040853,1183.0906688985467,195.27035101406906
4,112,120,973.41551706193718,922.12220620342123,1024.7088279204531,51.293310858515994
3,105,120,904.09666204298287,862.85570835194846,945.33761573401728,41.240953691034449
2,90,120,813.01303076279737,771.77207707176296,854.25398445383178,41.240953691034449
1,60,120,574.65664506019129,533.41569136915689,615.8975987512257,41.240953691034449
0,0,120,22.245458683316087,10.549104870850854,33.941812495781321,11.696353812465233
