step,id_a,id_b,distance,phase
1,111,94,1250.4407113047523,base
2,94,0,11.696353812465233,base
3,17,106,178.88265522820819,base
4,118,31,105.00319974014675,base
5,113,20,911.89928807591798,base
6,73,50,241.06915582428883,base
7,6,16,878.30691283303179,base
8,15,37,1440.4817696174539,base
9,37,16,593.86389184693235,strip
10,15,6,43.44519424734672,strip
11,46,93,1617.7642723062299,base
12,46,8,1374.6043725421296,base
13,93,8,243.18993173474732,base
14,28,48,1073.9618370774181,base
15,65,59,1028.367020861893,base
16,59,28,130.08132723503678,strip
17,59,46,93.361239205098045,strip
18,46,28,50.886113640511077,strip
19,3,107,228.10741205523553,base
20,2,60,962.82929256460977,base
21,2,3,141.56627653000399,strip
22,44,63,1093.0853414796588,base
23,22,61,152.83546906790286,base
24,22,60,135.41587074377523,strip
25,7,52,539.16975912499254,base
26,7,76,105.85166951999931,base
27,35,85,597.95242478696321,base
28,103,72,106.04545698322569,base
29,97,33,186.16333783134013,base
30,67,58,526.88123726140975,base
31,25,43,70.901689189154283,base
32,30,21,143.86844067020047,base
33,103,33,70.434784169487287,strip
34,13,10,284.86749358186989,base
35,53,26,662.80072824842296,base
36,64,49,196.20179800434755,base
37,49,26,68.77627993769768,strip
38,34,98,927.80669554096983,base
39,11,74,142.92019817802128,base
40,74,98,114.41172713291348,strip
41,56,9,530.92557400947965,base
42,109,84,1248.5741294204545,base
43,109,56,416.54829367990061,strip
44,9,84,314.22931966850626,strip
45,74,56,83.416113815655379,strip
46,56,98,36.756311030406053,strip
47,69,114,1228.9930650932829,base
48,69,116,980.55221055562254,base
49,114,116,248.90348328790833,base
50,62,79,549.49907591470401,base
51,71,95,1285.9220145625511,base
52,79,95,388.01655862007732,strip
53,95,62,201.49575509295155,strip
54,95,69,167.20235859964237,strip
55,69,62,131.87065081665884,strip
56,66,42,1225.1754567263565,base
57,45,29,719.90562313094699,base
58,66,45,351.4419352274374,strip
59,29,42,154.44421621656198,strip
60,89,12,284.70348051824584,base
61,27,23,706.12308110515914,base
62,27,89,120.79122552627926,strip
63,89,29,44.57043663026176,strip
64,70,47,770.31580288542102,base
65,47,81,212.39802412043568,base
66,99,80,522.25800552701469,base
67,115,36,1060.1705363749529,base
68,80,36,180.40126161585681,strip
69,70,99,156.92623443434178,strip
70,47,115,108.16179969659969,strip
71,14,1,452.64791506650829,base
72,91,83,913.39049322130484,base
73,83,14,92.006249167816222,strip
74,55,90,623.34422172959762,base
75,112,100,167.50431156743497,base
76,112,90,42.704439309039465,strip
77,117,54,376.88276841374363,base
78,82,68,111.4574262002791,base
79,51,119,206.21943351294254,base
80,82,117,49.841409553044429,strip
81,75,101,724.1103940731856,base
82,19,87,571.48094266249552,base
83,75,19,289.71626891951973,strip
84,41,40,1326.118093569273,base
85,104,32,104.95963429151253,base
86,40,104,87.104549871644949,strip
87,86,4,520.54712152674836,base
88,86,18,94.305461076187427,base
89,108,38,151.57035096298418,base
90,96,77,156.13637763093723,base
91,4,38,41.240953691034449,strip
92,92,110,171.76628290152496,base
93,5,57,1093.017467517712,base
94,92,57,137.23555426681779,strip
95,57,110,51.293310858515994,strip
96,78,105,195.27035101406906,base
97,39,24,322.9269585671866,base
98,117,112,35.659341113845713,strip
