vertex,color
1,9
2,8
3,9
4,10
5,12
6,11
7,5
8,1
9,8
10,13
11,7
12,8
13,4
14,3
15,3
16,4
17,1
18,4
19,14
20,10
21,14
22,15
23,8
24,8
25,8
26,1
27,3
28,14
29,7
30,2
31,6
32,1
33,9
34,6
35,4
36,7
37,5
38,10
39,10
40,5
41,15
42,4
43,11
44,8
45,2
46,7
47,3
48,13
49,1
50,4
51,5
52,5
53,3
54,12
55,9
56,2
57,10
58,12
59,15
60,14
61,2
62,7
63,9
64,7
65,8
66,2
67,10
68,9
69,6
70,10
71,10
72,14
73,6
74,6
75,3
76,6
77,11
78,9
79,3
80,5
81,9
82,5
83,10
84,3
85,9
86,4
87,15
88,11
89,7
90,2
91,5
92,10
93,3
94,3
95,11
96,3
97,14
98,15
99,7
100,7
101,7
102,9
103,11
104,11
105,10
106,4
107,4
108,6
109,8
110,7
111,1
112,5
113,5
114,10
115,13
116,6
117,1
118,12
119,14
120,6
121,7
122,1
123,7
124,3
125,8
126,12
127,4
128,4
129,15
130,9
131,3
132,2
133,5
134,4
135,13
136,14
137,9
138,8
139,12
140,8
141,10
142,10
143,14
144,12
145,2
146,15
147,1
148,15
149,4
150,2
151,15
152,4
153,5
154,4
155,2
156,1
157,1
158,9
159,3
160,5
161,5
162,13
163,4
164,13
165,12
166,15
167,5
168,11
169,14
170,4
171,14
172,10
173,9
174,6
175,4
176,9
177,6
178,12
179,8
180,13
181,15
182,5
183,14
184,3
185,4
186,1
187,13
188,1
189,8
190,1
191,1
192,12
193,6
194,11
195,2
196,13
197,9
198,15
199,15
200,11
201,7
202,13
203,9
204,8
205,13
206,4
207,13
208,6
209,11
210,3
211,9
212,8
213,6
214,3
215,6
216,9
217,12
218,6
219,8
220,6
221,6
222,9
223,12
224,5
225,11
226,10
227,13
228,7
229,13
230,9
231,12
232,7
233,11
234,10
235,15
236,6
237,7
238,10
239,5
240,12
241,10
242,13
243,10
244,6
245,14
246,1
247,1
248,15
249,3
250,13
251,11
252,14
253,10
254,12
255,2
256,3
257,8
258,15
259,5
260,4
261,6
262,13
263,2
264,9
265,10
266,13
267,2
268,15
269,3
270,2
271,5
272,7
273,13
274,3
275,10
276,3
277,14
278,2
279,1
280,13
281,1
282,11
283,14
284,11
285,12
286,6
287,5
288,12
289,4
290,6
291,3
292,1
293,3
294,8
295,15
296,6
297,14
298,3
299,12
300,2
301,7
302,14
303,5
304,6
305,7
306,13
307,6
308,1
309,8
310,1
311,15
312,2
313,13
314,8
315,9
316,15
317,10
318,10
319,11
320,4
321,15
322,14
323,4
324,4
325,12
326,10
327,9
328,2
329,14
330,8
331,7
332,11
333,11
334,15
335,9
336,14
337,4
338,13
339,11
340,13
341,10
342,2
343,12
344,9
345,4
346,1
347,9
348,10
349,5
350,13
351,10
352,5
353,2
354,13
355,13
356,7
357,9
358,15
359,4
360,1
361,1
362,8
363,3
364,3
365,8
366,6
367,5
368,1
369,12
370,12
371,14
372,4
373,2
374,12
375,7
376,10
377,7
378,2
379,1
380,5
381,7
382,14
383,14
384,10
385,9
386,15
387,12
388,15
389,1
390,14
391,2
392,5
393,7
394,12
395,14
396,3
397,8
398,8
399,5
400,10
401,3
402,4
403,14
404,14
405,11
406,8
407,10
408,4
409,1
410,8
411,6
412,6
413,11
414,4
415,9
416,14
417,11
418,12
419,11
420,13
421,11
422,5
423,7
424,14
425,11
426,2
427,14
428,8
429,15
430,4
431,10
432,12
433,6
434,11
435,2
436,15
437,3
438,10
439,12
440,11
441,11
442,1
443,15
444,9
445,6
446,15
447,12
448,7
449,5
450,8
