vertex,color
1,8
2,1
3,3
4,6
5,13
6,10
7,19
8,14
9,19
10,10
11,25
12,25
13,1
14,1
15,6
16,1
17,9
18,2
19,8
20,24
21,8
22,21
23,6
24,13
25,17
26,6
27,19
28,3
29,5
30,6
31,9
32,7
33,6
34,4
35,1
36,2
37,18
38,1
39,20
40,9
41,19
42,9
43,17
44,17
45,10
46,2
47,1
48,16
49,1
50,11
51,18
52,10
53,9
54,1
55,8
56,8
57,17
58,21
59,5
60,5
61,24
62,17
63,1
64,14
65,6
66,3
67,6
68,15
69,5
70,10
71,3
72,9
73,6
74,9
75,17
76,18
77,1
78,11
79,16
80,9
81,10
82,24
83,3
84,21
85,19
86,13
87,1
88,12
89,6
90,9
91,12
92,6
93,9
94,16
95,13
96,18
97,14
98,23
99,2
100,14
101,15
102,16
103,14
104,10
105,7
106,23
107,1
108,1
109,5
110,12
111,4
112,2
113,4
114,5
115,6
116,15
117,10
118,15
119,16
120,1
121,18
122,12
123,12
124,1
125,14
126,9
127,11
128,16
129,23
130,11
131,19
132,1
133,6
134,4
135,3
136,8
137,6
138,2
139,2
140,9
141,14
142,10
143,14
144,8
145,7
146,2
147,2
148,1
149,25
150,11
151,1
152,20
153,6
154,3
155,22
156,12
157,22
158,4
159,23
160,3
161,3
162,8
163,2
164,22
165,21
166,19
167,1
168,25
169,24
170,23
171,3
172,1
173,11
174,20
175,11
176,18
177,20
178,20
179,2
180,2
181,10
182,22
183,24
184,1
185,2
186,17
187,10
188,19
189,11
190,9
191,2
192,13
193,14
194,1
195,12
196,25
197,9
198,17
199,23
200,2
201,8
202,23
203,20
204,18
205,2
206,4
207,22
208,20
209,1
210,5
211,1
212,3
213,2
214,1
215,24
216,17
217,16
218,13
219,25
220,1
221,13
222,2
223,1
224,4
225,19
226,8
227,16
228,20
229,25
230,17
231,12
232,1
233,15
234,20
235,6
236,3
237,14
238,21
239,16
240,1
241,5
242,7
243,2
244,8
245,24
246,16
247,2
248,20
249,12
250,17
251,21
252,5
253,2
254,13
255,12
256,19
257,4
258,25
259,12
260,5
261,2
262,1
263,10
264,1
265,16
266,19
267,1
268,15
269,8
270,18
271,5
272,1
273,8
274,9
275,14
276,1
277,7
278,11
279,2
280,13
281,14
282,22
283,10
284,20
285,1
286,20
287,8
288,3
289,11
290,21
291,3
292,25
293,21
294,12
295,1
296,19
297,11
298,8
299,10
300,24
301,14
302,24
303,11
304,14
305,1
306,19
307,15
308,21
309,18
310,9
311,23
312,18
313,15
314,3
315,2
316,1
317,1
318,5
319,21
320,1
321,4
322,2
323,25
324,1
325,2
326,15
327,12
328,3
329,9
330,12
331,19
332,24
333,10
334,23
335,17
336,10
337,19
338,3
339,23
340,15
341,23
342,25
343,6
344,19
345,23
346,18
347,19
348,22
349,19
350,8
351,14
352,16
353,1
354,2
355,16
356,4
357,3
358,25
359,12
360,10
361,22
362,1
363,10
364,18
365,25
366,19
367,16
368,17
369,17
370,7
371,7
372,23
373,2
374,25
375,19
376,15
377,7
378,22
379,10
380,24
381,19
382,22
383,25
384,5
385,13
386,23
387,1
388,4
389,19
390,13
391,19
392,18
393,1
394,9
395,4
396,4
397,16
398,17
399,6
400,20
401,19
402,18
403,11
404,8
405,15
406,21
407,22
408,1
409,7
410,5
411,3
412,1
413,7
414,8
415,19
416,4
417,15
418,24
419,7
420,12
421,19
422,8
423,6
424,9
425,21
426,1
427,25
428,3
429,10
430,20
431,1
432,1
433,14
434,1
435,3
436,1
437,25
438,4
439,2
440,24
441,17
442,6
443,24
444,25
445,5
446,18
447,9
448,8
449,8
450,2
