vertex,color
1,3
2,2
3,1
4,4
5,5
6,3
7,2
8,1
9,4
10,5
11,3
12,2
13,1
14,4
15,5
16,3
17,2
18,1
19,4
20,4
21,3
22,2
23,1
24,4
25,5
26,3
27,2
28,1
29,4
30,5
31,3
32,2
33,1
34,4
35,5
36,3
37,2
38,1
39,4
40,5
41,3
42,2
43,1
44,4
45,4
46,3
47,2
48,1
49,4
50,5
51,3
52,2
53,1
54,4
55,5
56,3
57,2
58,1
59,4
60,5
61,3
62,2
63,1
64,4
65,5
66,3
67,2
68,1
69,4
70,5
71,3
72,2
73,1
74,4
75,5
76,3
77,2
78,1
79,4
80,5
81,3
82,2
83,1
84,5
85,5
86,3
87,2
88,1
89,5
90,5
91,3
92,2
93,1
94,5
95,5
96,3
97,2
98,1
99,4
100,5
101,3
102,2
103,1
104,4
105,5
106,3
107,2
108,1
109,4
110,4
111,3
112,2
113,1
114,4
115,5
116,3
117,2
118,1
119,4
120,5
121,3
122,2
123,1
124,4
125,5
126,3
127,2
128,1
129,4
130,5
131,3
132,2
133,1
134,4
135,4
136,3
137,2
138,1
139,4
140,5
141,3
142,2
143,1
144,4
145,5
146,3
147,2
148,1
149,4
150,5
151,3
152,2
153,1
154,4
155,5
156,3
157,2
158,1
159,4
160,5
161,3
162,2
163,1
164,4
165,5
166,3
167,2
168,1
169,4
170,5
171,3
172,2
173,1
174,4
175,5
176,3
177,2
178,1
179,4
180,5
181,3
182,2
183,1
184,4
185,5
186,3
187,2
188,1
189,4
190,5
191,3
192,2
193,1
194,4
195,5
196,3
197,2
198,1
199,5
200,4
201,3
202,2
203,1
204,5
205,5
206,3
207,2
208,1
209,4
210,5
211,3
212,2
213,1
214,4
215,5
216,3
217,2
218,1
219,4
220,5
221,3
222,2
223,1
224,4
225,4
226,3
227,2
228,1
229,4
230,5
231,3
232,2
233,1
234,4
235,5
236,3
237,2
238,1
239,4
240,5
241,3
242,2
243,1
244,4
245,5
246,3
247,2
248,1
249,4
250,5
251,3
252,2
253,1
254,4
255,5
256,3
257,2
258,1
259,4
260,5
261,3
262,2
263,1
264,4
265,5
266,3
267,2
268,1
269,4
270,5
271,3
272,2
273,1
274,4
275,5
276,3
277,2
278,1
279,4
280,5
281,3
282,2
283,1
284,4
285,5
286,3
287,2
288,1
289,4
290,4
291,3
292,2
293,1
294,4
295,5
296,3
297,2
298,1
299,4
300,5
301,3
302,2
303,1
304,4
305,5
306,3
307,2
308,1
309,5
310,5
311,3
312,2
313,1
314,5
315,4
316,3
317,2
318,1
319,5
320,5
321,3
322,2
323,1
324,4
325,5
326,3
327,2
328,1
329,4
330,5
331,3
332,2
333,1
334,4
335,5
336,3
337,2
338,1
339,4
340,5
341,3
342,2
343,1
344,4
345,5
346,3
347,2
348,1
349,4
350,5
351,3
352,2
353,1
354,4
355,5
356,3
357,2
358,1
359,4
360,5
361,3
362,2
363,1
364,4
365,5
366,3
367,2
368,1
369,4
370,5
371,3
372,2
373,1
374,4
375,5
376,3
377,2
378,1
379,4
380,4
381,3
382,2
383,1
384,4
385,5
386,3
387,2
388,1
389,4
390,5
391,3
392,2
393,1
394,4
395,5
396,3
397,2
398,1
399,4
400,5
401,3
402,2
403,1
404,4
405,4
406,3
407,2
408,1
409,4
410,5
411,3
412,2
413,1
414,4
415,5
416,3
417,2
418,1
419,4
420,5
421,3
422,2
423,1
424,5
425,5
426,3
427,2
428,1
429,5
430,5
431,3
432,2
433,1
434,4
435,5
436,3
437,2
438,1
439,4
440,5
441,3
442,2
443,1
444,4
445,5
446,3
447,2
448,1
449,4
450,5
