vertex,color
1,3
2,1
3,2
4,4
5,2
6,1
7,4
8,3
9,2
10,1
11,4
12,1
13,2
14,3
15,2
16,2
17,4
18,3
19,1
20,3
21,3
22,2
23,4
24,1
25,4
26,3
27,1
28,4
29,2
30,2
31,1
32,4
33,3
34,4
35,3
36,4
37,3
38,3
39,1
40,1
41,2
42,4
43,4
44,3
45,3
46,1
47,1
48,4
49,2
50,4
51,3
52,1
53,1
54,1
55,1
56,3
57,4
58,2
59,3
60,2
61,1
62,3
63,4
64,1
65,1
66,4
67,1
68,1
69,2
70,2
71,3
72,4
73,4
74,4
75,4
76,3
77,4
78,1
79,3
80,3
81,1
82,4
83,4
84,2
85,2
86,2
87,1
88,3
89,1
90,3
91,4
92,3
93,2
94,2
95,1
96,2
97,3
98,3
99,2
100,1
101,1
102,3
103,2
104,4
105,2
106,3
107,3
108,1
109,2
110,4
111,1
112,2
113,2
114,4
115,1
116,3
117,2
118,3
119,3
120,2
121,3
122,2
123,4
124,3
125,1
126,2
127,4
128,2
129,3
130,1
131,1
132,3
133,1
134,1
135,3
136,2
137,3
138,3
139,3
140,4
141,2
142,4
143,1
144,2
145,3
146,4
147,1
148,2
149,3
150,1
151,1
152,1
153,2
154,2
155,2
156,4
157,4
158,2
159,2
160,1
161,4
162,2
163,2
164,4
165,1
166,3
167,1
168,4
169,3
170,2
171,2
172,1
173,4
174,3
175,3
176,4
177,1
178,2
179,2
180,2
181,4
182,2
183,2
184,3
185,2
186,2
187,1
188,3
189,1
190,2
191,2
192,3
193,1
194,1
195,4
196,3
197,1
198,4
199,1
200,1
201,2
202,4
203,4
204,4
205,1
206,2
207,4
208,1
209,3
210,4
211,4
212,3
213,4
214,2
215,3
216,3
217,2
218,3
219,3
220,3
221,1
222,4
223,4
224,2
225,2
226,2
227,4
228,4
229,1
230,3
231,1
232,2
233,1
234,2
235,4
236,1
237,2
238,3
239,4
240,4
241,4
242,1
243,4
244,3
245,3
246,1
247,1
248,1
249,1
250,4
251,3
252,2
253,1
254,4
255,2
256,3
257,3
258,1
259,4
260,3
261,3
262,4
263,2
264,4
265,3
266,4
267,3
268,3
269,3
270,3
271,4
272,2
273,4
274,3
275,3
276,3
277,1
278,1
279,2
280,3
281,2
282,4
283,3
284,4
285,3
286,3
287,4
288,2
289,4
290,1
291,4
292,3
293,2
294,2
295,2
296,2
297,3
298,4
299,3
300,4
301,1
302,1
303,3
304,1
305,1
306,1
307,4
308,4
309,4
310,1
311,4
312,3
313,3
314,2
315,3
316,2
317,4
318,4
319,1
320,1
321,4
322,1
323,1
324,4
325,3
326,2
327,2
328,1
329,3
330,2
331,4
332,3
333,1
334,4
335,2
336,3
337,3
338,2
339,4
340,3
341,2
342,4
343,4
344,4
345,1
346,2
347,3
348,3
349,3
350,1
351,1
352,1
353,3
354,1
355,1
356,2
357,2
358,4
359,1
360,4
361,3
362,2
363,2
364,4
365,1
366,4
367,2
368,2
369,3
370,4
371,2
372,3
373,4
374,4
375,4
376,1
377,4
378,4
379,3
380,2
381,4
382,4
383,3
384,2
385,1
386,2
387,3
388,2
389,2
390,1
391,2
392,1
393,4
394,1
395,3
396,3
397,1
398,2
399,4
400,1
401,1
402,3
403,4
404,3
405,2
406,4
407,4
408,4
409,2
410,4
411,1
412,3
413,1
414,3
415,2
416,1
417,2
418,2
419,4
420,2
421,1
422,3
423,1
424,4
425,1
426,3
427,1
428,4
429,1
430,4
431,3
432,1
433,4
434,2
435,3
436,2
437,2
438,1
439,4
440,1
441,1
442,1
443,4
444,4
445,2
446,4
447,3
448,2
449,2
450,3
451,4
452,3
453,3
454,3
455,3
456,2
457,3
458,4
459,4
460,4
461,2
462,1
463,3
464,3
465,1
466,2
467,4
468,4
469,2
470,1
471,4
472,1
473,3
474,1
475,2
476,4
477,2
478,2
479,3
480,1
481,3
482,2
483,2
484,2
485,3
486,3
487,1
488,2
489,2
490,1
491,2
492,1
493,2
494,1
495,3
496,1
497,3
498,2
499,2
500,2
