vertex,color
1,14
2,25
3,6
4,18
5,12
6,21
7,7
8,5
9,16
10,18
11,22
12,23
13,15
14,10
15,16
16,14
17,10
18,25
19,9
20,7
21,6
22,2
23,19
24,11
25,10
26,16
27,10
28,17
29,22
30,15
31,6
32,13
33,23
34,12
35,19
36,2
37,13
38,20
39,10
40,4
41,10
42,17
43,19
44,7
45,21
46,20
47,25
48,25
49,22
50,24
51,4
52,17
53,3
54,22
55,21
56,9
57,19
58,17
59,25
60,11
61,14
62,7
63,17
64,8
65,16
66,7
67,13
68,3
69,11
70,17
71,4
72,5
73,17
74,13
75,9
76,15
77,6
78,1
79,20
80,12
81,15
82,20
83,9
84,4
85,25
86,22
87,21
88,13
89,23
90,15
91,6
92,17
93,12
94,8
95,14
96,2
97,24
98,13
99,4
100,3
101,10
102,8
103,5
104,13
105,4
106,25
107,24
108,15
109,22
110,3
111,23
112,25
113,14
114,3
115,12
116,2
117,14
118,21
119,4
120,4
121,24
122,18
123,4
124,20
125,15
126,20
127,15
128,5
129,24
130,25
131,22
132,25
133,23
134,7
135,4
136,4
137,15
138,22
139,14
140,13
141,10
142,10
143,1
144,18
145,5
146,2
147,7
148,9
149,20
150,16
151,14
152,9
153,20
154,2
155,2
156,12
157,6
158,21
159,20
160,9
161,2
162,10
163,1
164,23
165,8
166,18
167,7
168,20
169,12
170,20
171,3
172,2
173,12
174,20
175,7
176,25
177,23
178,24
179,8
180,25
181,23
182,5
183,21
184,4
185,21
186,5
187,11
188,9
189,17
190,15
191,2
192,2
193,25
194,8
195,21
196,9
197,18
198,9
199,9
200,9
201,14
202,21
203,2
204,19
205,13
206,9
207,18
208,3
209,11
210,11
211,4
212,25
213,13
214,24
215,13
216,16
217,3
218,19
219,6
220,2
221,16
222,5
223,25
224,4
225,8
226,12
227,24
228,3
229,9
230,23
231,18
232,4
233,18
234,22
235,1
236,8
237,14
238,23
239,11
240,4
241,24
242,14
243,15
244,20
245,11
246,3
247,10
248,17
249,6
250,5
251,5
252,11
253,17
254,23
255,13
256,22
257,3
258,10
259,16
260,21
261,10
262,18
263,18
264,1
265,1
266,1
267,4
268,4
269,22
270,8
271,21
272,8
273,10
274,20
275,5
276,19
277,7
278,5
279,9
280,19
281,15
282,11
283,15
284,25
285,23
286,4
287,20
288,8
289,23
290,14
291,23
292,19
293,10
294,1
295,11
296,23
297,18
298,13
299,24
300,16
301,22
302,24
303,24
304,9
305,22
306,15
307,1
308,13
309,13
310,22
311,15
312,19
313,8
314,9
315,1
316,12
317,22
318,7
319,13
320,10
321,22
322,1
323,25
324,19
325,17
326,15
327,8
328,8
329,13
330,15
331,10
332,9
333,3
334,13
335,17
336,17
337,7
338,22
339,5
340,7
341,17
342,9
343,19
344,11
345,12
346,24
347,21
348,15
349,17
350,24
351,10
352,8
353,11
354,7
355,23
356,12
357,16
358,23
359,12
360,15
361,6
362,14
363,5
364,2
365,3
366,19
367,15
368,21
369,8
370,14
371,2
372,2
373,14
374,10
375,11
376,19
377,20
378,6
379,3
380,24
381,15
382,8
383,6
384,5
385,9
386,5
387,24
388,6
389,10
390,1
391,15
392,20
393,24
394,21
395,10
396,12
397,6
398,14
399,16
400,13
401,22
402,25
403,13
404,16
405,18
406,19
407,23
408,14
409,1
410,5
411,4
412,9
413,17
414,7
415,21
416,14
417,7
418,18
419,21
420,22
421,16
422,20
423,16
424,6
425,20
426,6
427,7
428,5
429,21
430,7
431,15
432,23
433,1
434,3
435,24
436,19
437,25
438,17
439,25
440,25
441,12
442,23
443,19
444,14
445,13
446,21
447,2
448,7
449,14
450,23
