vertex,color
1,4
2,3
3,2
4,1
5,3
6,2
7,2
8,4
9,1
10,4
11,4
12,2
13,2
14,1
15,2
16,4
17,3
18,4
19,2
20,4
21,1
22,3
23,3
24,1
25,1
26,1
27,1
28,4
29,2
30,4
31,4
32,1
33,4
34,3
35,2
36,1
37,2
38,2
39,3
40,3
41,3
42,3
43,3
44,1
45,4
46,4
47,3
48,4
49,2
50,2
51,4
52,1
53,4
54,2
55,1
56,2
57,3
58,2
59,4
60,2
61,3
62,4
63,1
64,4
65,3
66,4
67,1
68,4
69,2
70,3
71,2
72,2
73,3
74,4
75,4
76,2
77,2
78,3
79,4
80,3
81,2
82,4
83,4
84,3
85,2
86,1
87,4
88,3
89,2
90,1
91,2
92,1
93,3
94,1
95,1
96,2
97,1
98,1
99,4
100,1
101,4
102,4
103,3
104,4
105,4
106,2
107,3
108,1
109,4
110,3
111,4
112,1
113,3
114,3
115,2
116,2
117,3
118,1
119,1
120,3
121,2
122,2
123,3
124,4
125,2
126,3
127,1
128,3
129,3
130,3
131,2
132,1
133,4
134,4
135,4
136,1
137,4
138,3
139,4
140,1
141,2
142,2
143,4
144,3
145,2
146,4
147,2
148,1
149,3
150,3
151,1
152,3
153,1
154,4
155,2
156,2
157,2
158,3
159,4
160,3
161,4
162,3
163,1
164,4
165,1
166,4
167,2
168,3
169,3
170,4
171,3
172,2
173,4
174,4
175,2
176,2
177,3
178,1
179,2
180,3
181,3
182,3
183,4
184,2
185,1
186,3
187,3
188,2
189,2
190,4
191,2
192,1
193,4
194,2
195,1
196,1
197,2
198,4
199,4
200,2
201,4
202,3
203,2
204,1
205,3
206,4
207,3
208,1
209,1
210,2
211,2
212,3
213,1
214,3
215,4
216,1
217,1
218,1
219,1
220,2
221,2
222,4
223,3
224,3
225,2
226,3
227,1
228,1
229,4
230,3
231,2
232,1
233,2
234,1
235,2
236,1
237,4
238,3
239,3
240,2
241,1
242,4
243,4
244,1
245,4
246,2
247,1
248,3
249,2
250,3
251,1
252,2
253,3
254,4
255,4
256,3
257,1
258,4
259,2
260,3
261,4
262,3
263,2
264,1
265,3
266,2
267,3
268,3
269,1
270,1
271,2
272,4
273,2
274,3
275,3
276,1
277,1
278,4
279,4
280,2
281,2
282,2
283,4
284,2
285,4
286,2
287,1
288,3
289,2
290,4
291,2
292,3
293,4
294,3
295,1
296,3
297,2
298,1
299,1
300,4
