name,vertices,edges,colors,success,conflicts,elapsed,method,assignments,restarts,solutions
小规模粘贴地图抽象图,9,16,4,True,0,7e-05,DSATUR回溯,9,0,0
le450_5a.col,450,5714,5,True,0,1.116954,TabuCol局部搜索,0,1,0
le450_15b.col,450,8169,15,True,0,2.403692,TabuCol局部搜索,0,1,0
le450_25a.col,450,8260,25,True,0,0.005466,TabuCol局部搜索,0,1,0
le450_5a.col(全部解),450,5714,5,True,0,300.00041,DSATUR回溯(全部解),654863,0,192
le450_15b.col(全部解),450,8169,15,False,-1,300.010613,DSATUR回溯(全部解),1266083,0,0
le450_25a.col(全部解),450,8260,25,True,0,300.039835,DSATUR回溯(全部解),163456736,0,156640920
随机平面图n=50,50,144,4,True,0,0.000574,DSATUR回溯,50,0,0
随机平面图n=100,100,294,4,True,0,0.001949,DSATUR回溯,100,0,0
随机平面图n=200,200,594,4,True,0,0.007853,DSATUR回溯,200,0,0
随机平面图n=400,400,1194,4,True,0,0.026182,DSATUR回溯,400,0,0
随机平面图n=800,800,2394,4,True,0,0.104829,DSATUR回溯,800,0,0
随机平面图n=1600,1600,4794,4,True,0,0.417996,DSATUR回溯,1600,0,0
随机平面图n=3200,3200,9594,4,True,0,1.619031,DSATUR回溯,3200,0,0
随机平面图n=6400,6400,19194,4,True,0,6.590661,DSATUR回溯,6400,0,0
随机平面图n=12800,12800,38394,4,True,0,26.101393,DSATUR回溯,12800,0,0
