Measured CPU frequency: 2419.2 MHz
Array allocated: 64 MB

=== Cache Latency Data (cycles per access) ===
Size_KB	Stride1	Stride2	Stride4	Stride8	Stride16	Stride32	Stride64
1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	
2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	
4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	
8.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	
16.0	3.1	3.0	3.0	3.0	3.0	3.0	3.0	
24.0	3.1	3.0	3.0	3.0	3.0	3.0	3.0	
32.0	3.1	3.1	3.2	3.0	3.0	3.0	3.0	
48.0	3.1	3.1	3.1	3.2	3.2	3.2	3.1	
64.0	4.6	4.6	4.7	5.5	8.2	8.2	10.4	
96.0	5.7	5.9	6.2	6.7	8.9	8.7	8.4	
128.0	6.7	7.0	6.8	7.0	8.1	9.1	8.1	
192.0	6.9	7.0	7.0	7.3	8.0	7.9	8.3	
256.0	8.1	8.1	8.2	8.4	8.4	9.8	8.8	
384.0	9.2	8.4	8.8	10.0	9.4	9.2	9.1	
512.0	10.5	9.2	8.6	9.6	10.4	9.3	9.1	
768.0	10.8	10.6	10.7	9.8	11.6	9.6	9.6	
1024.0	13.5	12.0	11.4	10.4	10.8	10.6	10.7	
1536.0	14.5	12.0	13.7	14.9	14.9	17.0	13.7	
2048.0	18.3	21.1	19.8	23.1	27.9	28.7	28.0	
3072.0	25.9	28.0	28.6	27.3	32.7	34.0	29.5	
4096.0	32.6	31.1	32.9	31.6	40.0	38.1	32.0	
6144.0	55.7	31.5	104.8	57.5	37.2	40.8	37.4	
8192.0	146.3	115.4	148.0	90.8	210.9	107.0	41.2	
12288.0	179.2	131.7	209.6	199.5	221.5	194.7	96.5	
16384.0	203.7	209.5	219.5	219.5	238.0	230.9	166.7	
24576.0	212.3	210.9	212.2	234.2	232.3	237.3	231.9	
32768.0	224.5	228.7	224.1	244.4	247.8	232.7	230.0	
49152.0	254.4	237.9	235.0	231.9	232.0	246.0	235.5	
65536.0	229.1	230.6	234.7	241.7	237.5	253.2	231.4	

Done.
