Measured CPU frequency: 2419.1 MHz
Array allocated: 64 MB

=== Cache Latency Data (cycles per access) ===
Size_KB	Stride1	Stride2	Stride4	Stride8	Stride16	Stride32	Stride64
1.0	2.9	5.3	2.9	2.9	2.9	2.9	2.9	
2.0	2.8	2.9	2.8	2.8	2.8	2.8	2.8	
4.0	3.0	3.0	3.0	6.0	2.8	2.9	3.1	
8.0	4.4	2.8	2.8	2.8	2.9	2.9	2.9	
16.0	2.9	3.0	2.8	2.9	2.9	2.9	2.8	
24.0	4.0	2.9	3.1	3.0	8.2	3.0	2.9	
32.0	2.9	3.3	2.8	2.8	2.8	2.9	2.9	
48.0	2.8	2.9	2.9	3.0	2.9	2.9	2.9	
64.0	4.4	4.4	4.6	5.3	8.3	8.0	7.9	
96.0	5.5	5.6	6.0	6.6	8.6	7.9	7.9	
128.0	6.4	6.2	6.4	6.8	7.9	7.9	7.9	
192.0	6.6	6.8	7.0	7.6	13.2	15.1	7.9	
256.0	6.9	7.2	9.2	7.7	8.7	8.0	8.0	
384.0	7.3	8.2	7.5	7.9	10.1	9.3	8.0	
512.0	7.5	7.9	9.5	9.8	9.1	9.7	9.5	
768.0	7.4	9.1	11.0	9.9	13.1	9.7	9.9	
1024.0	7.4	9.3	10.3	10.4	13.6	10.4	12.5	
1536.0	10.4	8.8	11.0	14.4	11.4	11.3	12.4	
2048.0	7.4	9.1	11.0	12.6	15.1	13.8	13.6	
3072.0	9.3	11.2	15.9	23.2	32.3	33.0	32.1	
4096.0	11.0	11.9	16.2	24.9	34.4	34.8	33.8	
6144.0	9.9	13.9	17.4	39.7	47.2	36.3	33.7	
8192.0	15.9	22.2	59.2	101.3	176.7	35.0	34.8	
12288.0	15.8	21.1	47.5	65.2	196.4	44.6	40.6	
16384.0	18.3	31.0	61.7	106.3	208.0	177.1	46.6	
24576.0	18.9	34.3	62.7	118.5	200.4	205.8	176.8	
32768.0	19.8	34.7	78.9	124.3	207.5	211.5	209.5	
49152.0	18.3	35.6	61.7	120.6	209.7	218.4	217.9	
65536.0	19.0	35.1	65.9	123.9	209.9	214.8	216.1	

Done.
