Clock frequency is approx. 2639.2 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	18091.2	10272.7	13386.4	10087.9	10434.8	6191.2	7781.7	7445.2	7521.7	5187.2	5317.8	6011.5	5411.5	5378.8	5185.7	3969.3	5092.0	5631.9	4379.3	5087.7	5581.2	5166.9	5141.0	5428.1	4937.5	5078.9	5428.6	4456.7	5109.1	5104.6	5511.4	3136.7	5389.4	5295.8	4972.6	5214.8	5018.5	5056.6	4980.3	6324.8	4970.2	3524.3	5800.6	5785.5	5426.1	5024.1	5593.9	4705.4	5345.8	4939.6	4895.7	5504.2	5225.6	5389.6	5250.4	9681.2	5560.3	3802.7	6335.8	5633.6	4784.0	5091.4	6850.7	4191.5	
16m	23920.3	23646.5	23407.1	19446.0	15437.0	13098.5	11233.7	10070.3	8845.0	9049.9	8679.4	7198.0	7629.3	7359.6	7005.8	5919.2	6352.3	6233.6	4803.1	4934.1	6175.4	5109.4	5135.9	6422.5	5893.4	5776.2	5753.5	6081.5	3578.2	4942.8	4804.1	3497.1	4197.7	4466.8	4834.2	5639.7	5082.0	4810.2	6086.0	6887.8	5517.6	5574.6	5569.2	6312.6	5933.2	6308.1	6727.4	5296.3	6843.7	6018.9	6185.9	6471.8	5784.1	6383.1	6082.3	15194.4	6217.7	6462.2	6083.2	6038.9	4458.4	4700.6	8130.5	4263.6	
8m	22642.1	22172.4	22185.1	21988.4	19040.8	16474.9	14699.9	12984.8	11883.7	11022.1	10446.3	9889.5	9109.9	8951.9	8583.0	6912.7	7987.7	7654.1	7445.1	7593.1	7697.6	7316.9	7373.9	8795.6	7146.1	7190.3	7226.3	6845.7	5842.3	5815.3	6143.2	4645.7	6895.9	6562.4	6795.2	6778.9	7479.1	8379.6	19939.3	20748.3	18966.7	18863.6	11990.3	20735.4	20757.0	20807.1	20693.6	5122.4	20846.2	19517.1	19526.9	20860.1	19546.1	20834.7	19083.7	19054.5	19072.3	19088.4	19116.6	19081.9	19953.7	19517.1	20371.9	4598.4	
4m	22640.9	17930.3	20567.5	20857.5	18556.1	16078.9	14377.4	14333.6	12096.1	11466.5	10156.0	9619.3	9215.7	8912.8	8871.6	7337.4	9661.9	9406.5	9920.7	12431.4	13872.8	11597.4	17066.4	17407.0	18701.8	18712.0	18708.8	20856.9	18696.7	20431.2	20450.4	5127.6	21738.3	21757.2	21740.1	21750.6	21750.5	21724.6	21751.6	21732.3	21743.6	19994.1	19977.6	19997.0	19991.1	19982.0	19983.3	19925.4	19997.4	19963.3	21731.2	21724.2	21715.4	21722.2	21718.6	21686.4	21679.3	21680.6	21685.0	21717.9	21704.2	21709.9	21700.4	6240.5	
2m	21771.1	20008.0	21589.8	21686.5	21742.7	21582.3	21110.9	20446.6	21306.0	21729.9	21726.5	22205.6	22166.6	22200.3	22196.1	14850.4	22179.7	22172.5	22155.8	22149.8	22155.5	22152.2	22154.6	22089.7	22161.4	22153.8	22154.2	22135.6	22153.7	22100.4	22107.8	12710.4	22059.9	22108.7	22132.4	22086.5	22131.6	22135.6	22085.0	22121.2	22076.1	22107.2	22070.3	22076.1	22081.7	22085.4	22073.4	21934.0	22091.8	22073.0	22053.3	22082.3	22022.0	22061.2	21996.3	22046.8	22008.5	22023.0	22067.3	21968.5	22049.4	22004.2	21985.5	13040.0	
1024k	22208.9	21879.2	21741.0	21781.0	21735.0	21755.2	21770.0	21744.0	21759.9	21752.8	21718.1	21713.3	21735.3	21719.7	21672.0	22084.1	20401.8	20395.9	20356.7	20378.3	20352.3	20334.6	20365.8	22026.2	22059.8	22013.8	22061.2	21914.8	21992.6	21947.5	21939.3	21196.5	21958.8	21980.3	21993.9	21925.9	21997.8	21988.6	21927.6	21907.6	21993.4	21970.8	21920.0	21960.5	21955.1	21868.7	21831.9	21772.5	21949.6	21893.5	21827.1	21909.0	21920.3	21872.9	21838.7	21846.4	21899.3	21856.0	21795.5	21776.6	21757.9	21879.5	21810.8	20649.8	
512k	22202.1	21779.6	22189.6	22191.8	22174.6	22176.8	22140.6	22129.4	22115.1	22047.2	18602.5	18559.0	18572.1	18588.6	18541.8	18431.7	19798.9	19843.1	19768.3	19846.3	19792.9	19759.6	19802.7	19757.9	19717.4	19739.2	19718.4	19656.5	19666.8	19685.3	19680.0	19065.6	19685.0	19660.2	19648.4	19599.6	19547.8	19577.0	19634.1	19543.5	19575.1	19552.1	19501.3	19543.9	19521.8	19582.7	19471.1	19064.4	19487.1	19528.6	19490.7	19579.5	19468.3	19397.5	19336.6	19424.7	19451.5	19347.8	19413.9	19363.0	19336.2	19255.5	19266.2	18153.1	
256k	20010.2	19957.7	19965.1	19993.4	19909.1	19921.7	19878.4	19922.0	19863.6	19886.2	19364.2	19353.3	19379.8	19363.8	19282.1	19048.8	19305.8	19304.3	19245.8	19207.2	19210.0	19197.9	19219.8	19191.4	19597.8	19565.1	19515.7	19455.3	19474.1	19461.1	19406.2	18558.3	19392.4	19397.8	19301.8	19332.1	19334.2	19346.7	19364.7	19345.3	17779.2	17749.2	17956.0	17988.3	17980.6	18053.1	18059.9	17343.8	18006.5	17967.2	17991.4	17978.7	19056.2	19035.2	19203.8	19183.4	18965.2	19174.6	19160.1	19185.8	19124.2	19139.9	19098.7	16997.2	
128k	20005.0	19970.3	18652.0	18574.2	18582.9	18520.2	19774.5	19762.7	19700.0	19632.3	19604.8	19582.5	19608.3	19547.7	19461.1	18898.9	19360.9	19332.1	19305.7	19302.1	19264.7	19385.6	19205.9	19320.0	19268.4	19198.0	19035.2	19124.0	19143.8	19154.0	19107.1	17268.7	19089.8	19017.1	16441.2	16449.8	16428.9	16401.1	16421.7	16437.3	16346.7	16337.9	16284.0	16306.1	16248.1	16205.0	16171.7	16264.2	16075.7	16124.4	16149.4	16064.7	17266.6	17218.7	17325.7	17250.7	17237.3	17231.1	17240.2	17103.9	17126.9	17062.0	16995.5	14375.3	
64k	20394.2	20348.6	20222.2	20149.5	20100.0	20059.4	19942.1	19871.7	19749.3	19697.9	19627.7	19743.4	19651.8	19609.7	19510.5	18670.4	19528.1	19446.8	19326.2	19342.4	19194.2	19169.7	19132.6	18960.6	19056.1	18894.3	18784.0	18828.5	18689.6	18653.8	18535.8	16038.9	18577.4	18561.1	18435.1	18403.7	18401.7	18346.7	18321.8	18317.9	18178.7	18057.7	18036.6	18109.6	18040.8	17982.0	17773.2	17834.2	17911.8	17730.1	17755.9	17594.7	17632.8	17493.8	17560.3	17445.6	17328.3	17527.4	17334.4	17361.5	17389.6	17435.3	17048.3	16478.9	
32k	20372.6	20243.8	20045.5	19926.6	19833.4	19716.4	19609.7	19548.3	19368.4	19342.4	19263.6	19162.3	18894.3	18771.3	18714.4	18574.2	18561.1	18403.7	18200.0	18317.9	18298.5	18109.6	17811.5	17834.2	17550.1	17594.7	17493.8	17250.7	17323.6	17154.8	17114.4	16997.2	16890.9	17057.4	16691.2	16795.0	16683.6	16605.8	16421.7	16375.1	16474.4	16082.7	16218.3	15835.2	16011.2	15924.7	15722.5	15788.9	15741.0	15715.3	15544.7	15685.9	15387.1	15378.5	15099.3	15136.6	14999.1	29186.5	28720.8	14855.7	14763.1	14668.4	28591.4	28750.5	
16k	20243.8	19963.4	19743.4	19513.0	19170.8	18960.6	18886.1	18702.8	18474.4	18317.9	18026.5	17746.4	17594.7	17445.6	17361.5	17104.7	17057.4	16678.3	16851.8	16375.1	17746.4	17689.8	17399.2	17142.3	16947.8	16966.3	17197.4	16252.0	32359.0	16191.1	16394.1	16280.4	15771.6	29522.3	30125.6	29288.8	30698.1	32499.9	29958.6	30841.0	30087.0	29408.3	28729.6	30680.8	27447.7	27634.0	26241.3	26469.7	27546.7	27839.4	26474.5	25979.7	25484.8	25796.1	27029.1	27523.2	29132.8	26580.6	28117.7	18474.4	17682.7	19354.2	24506.9	23297.8	
8k	19566.0	19065.6	18665.9	18260.5	17717.3	17403.5	17060.1	16786.0	16449.8	16252.0	15583.9	15253.7	15115.5	14704.2	26200.1	26495.6	24891.3	25549.8	25277.7	12128.5	23937.0	22832.2	24091.2	21950.5	25383.0	23752.9	27575.2	11168.8	21889.9	22515.7	20492.7	10084.1	22569.8	19194.2	18714.4	18721.9	18227.0	18914.3	17319.8	17367.7	17506.7	16601.5	20058.0	20453.9	19213.4	18791.2	19134.2	17256.4	17629.9	17207.6	12064.9	14288.1	14015.1	13742.1	13020.1	12429.8	12580.2	12404.3	13007.5	13293.8	12195.0	12012.9	11830.9	13512.7	
