Memory Mountain (MB/sec)
CPU_freq_MHz	2419.2
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
64m	12769.2	10520.7	7985.3	5732.7	4861.1	3862.9	3492.5	3663.3	3559.0	3298.1	3212.2	2741.5	2401.9	2837.6	2779.3	1803.7	2395.3	2652.2	2403.7	2479.1	2789.4	3008.8	2544.5	3095.6	2422.2	2689.0	2925.1	2613.4	2207.6	1937.4	2501.6	1843.7	3156.6	2678.8	2966.3	2543.4	1995.3	2602.7	2793.0	3566.5	3057.8	3238.6	3515.3	3631.8	3549.2	2549.0	2953.7	2225.9	3447.1	2914.5	3088.9	3506.6	3261.8	3397.0	3117.8	4704.9	3073.8	3466.9	3562.6	3565.9	3370.2	3493.3	3867.7	2094.1	
32m	13764.9	10521.1	8832.6	7545.6	7993.3	5031.2	5295.4	5017.8	4942.6	4727.0	4655.1	4168.3	3776.9	2923.9	3446.3	2766.4	3890.4	3681.3	3963.6	4235.9	4292.9	3918.2	4095.8	4515.1	4070.4	3576.9	3695.2	3725.9	3493.8	3444.7	3881.9	2270.0	3846.8	3645.7	3726.1	3647.6	3834.1	3796.3	3810.9	4438.6	3795.9	3886.2	3910.2	4234.1	3899.1	3670.2	4142.2	3377.5	4402.8	3951.3	3986.2	4341.2	4351.3	4361.9	4417.1	6961.6	4287.4	4180.8	4345.3	4547.8	4050.8	4092.2	4630.2	2584.0	
16m	17509.6	16769.4	15788.6	10829.5	10533.1	9268.5	8075.8	7796.3	6906.5	6820.8	5079.9	5342.2	5522.5	5814.1	5278.6	4224.7	5160.2	4833.6	4751.2	4950.5	4445.1	4204.8	4136.4	5467.5	4483.2	4573.7	4695.0	4669.6	4519.5	4180.5	4627.6	3232.0	4633.3	4331.2	4302.3	4781.0	4189.5	4843.5	4808.6	5658.5	4732.5	4803.5	5393.6	5125.9	4429.0	4678.4	5712.5	4386.9	5120.8	4850.2	4979.1	5023.3	5411.0	5278.3	3920.6	10414.1	5263.9	5438.0	5482.2	4826.5	5159.8	5192.4	6821.7	4367.0	
8m	19190.0	20667.5	19807.0	13685.1	13679.6	12379.3	10014.5	8353.4	7799.5	7241.9	6699.7	6271.1	6115.9	6003.2	5446.4	4382.4	5304.8	5036.8	5061.4	5066.3	4877.1	4430.1	4445.0	5394.8	4395.5	4258.5	4309.4	4279.9	4201.7	4217.5	4278.9	3383.7	4976.6	4835.6	4815.7	5475.6	5830.2	5626.2	5884.6	13345.3	6515.1	7669.2	7599.7	8255.8	7629.1	8737.0	13287.2	4682.1	11049.6	10943.0	11169.0	12459.9	14736.6	14534.7	14554.8	18426.9	16013.2	15806.2	16074.7	14725.0	15869.9	16312.5	16765.6	4135.3	
4m	19369.2	18849.0	18979.4	17554.7	12543.4	11441.0	9650.4	8363.3	7363.2	6813.9	6368.4	6195.2	5883.8	5568.5	5697.2	4271.0	6020.5	5638.0	6140.2	7060.1	7723.3	7690.1	8951.2	16242.5	10945.2	11500.0	13578.3	14968.7	13663.6	14884.9	15841.8	3556.5	18672.6	16113.8	16088.0	16313.0	17338.6	11331.3	17427.4	19136.9	18003.9	18426.6	17629.7	18305.2	18502.4	18661.0	18979.0	18062.7	18900.0	19098.3	18946.7	19011.3	19052.5	19162.7	19165.1	19172.3	19161.2	19204.6	19206.8	19181.2	19191.2	19182.3	19170.9	4072.6	
2m	18651.7	17191.4	18585.1	18569.3	18262.9	17154.1	14188.3	14534.8	15207.1	16244.0	17481.7	18432.4	18166.4	18000.9	18561.0	9281.7	19080.8	18966.0	18997.0	18940.9	19083.0	19114.0	19065.9	19113.2	19095.1	19183.2	19200.3	19153.2	19146.2	19073.9	18757.9	7786.8	18995.1	18939.6	19001.7	18993.3	19109.5	19104.6	19215.5	19198.0	19123.0	19118.7	19002.3	19067.2	19239.7	19195.7	18958.3	19145.8	19141.5	19114.8	19165.4	19057.7	19201.9	19260.5	19201.8	19244.8	18989.1	19011.7	19166.1	19201.3	19057.9	19100.3	19243.3	8374.3	
1m	19108.7	19155.7	19071.8	18871.3	18745.8	18938.4	18904.4	18993.7	18923.2	19137.8	18856.7	19099.4	18760.8	19029.7	19127.4	18829.3	18844.0	19187.3	18980.2	18753.5	19010.3	19105.7	19115.8	19048.5	19013.8	18886.5	18884.1	18906.6	18930.2	19267.8	19096.8	18418.0	19058.6	18976.3	18895.1	19016.9	19097.7	18939.3	19083.0	18899.9	18892.2	19124.1	19288.8	19244.8	19289.7	19272.1	19251.1	19116.6	19094.8	19247.6	19115.3	19263.1	19244.4	19334.2	18471.2	19226.8	19355.0	19279.9	19266.6	19328.5	19322.7	19294.9	19323.6	18091.8	
512k	19136.2	18826.9	18347.5	18859.9	18702.4	18952.5	18980.7	19159.2	18938.2	19071.0	18863.1	18830.6	4954.0	19198.3	19197.8	19091.4	19199.9	19244.4	19220.7	19251.1	19246.0	19194.8	19264.1	19257.4	19262.2	19275.3	19231.3	19226.8	19262.9	19275.7	19171.9	18319.3	19285.3	19243.5	19271.0	19211.9	19283.6	19224.0	19275.3	19287.4	19341.2	19294.0	19279.9	19273.1	19390.6	19377.8	19218.2	18826.5	19338.9	19394.8	19338.3	19319.6	19297.1	19375.7	19379.4	18923.1	19252.8	19391.1	19381.3	19413.8	19382.2	19386.3	19312.5	17710.3	
256k	19018.2	15806.5	18734.1	18359.6	18910.6	18483.5	19120.5	19274.3	19108.7	18890.8	19112.0	19105.6	18875.4	19289.0	19098.0	19079.4	18302.8	19310.9	19002.8	19377.0	19405.6	19405.4	19416.0	19413.0	19505.2	19492.6	19088.9	19453.1	19394.5	19496.1	19523.2	17796.2	19031.0	19495.0	19494.9	19551.0	19601.4	19585.1	19643.3	19578.0	19613.5	19619.9	19720.8	19833.2	19639.3	19918.4	19889.8	18801.9	19877.0	19875.2	19924.4	19955.1	19947.2	20034.4	19991.7	20081.0	19894.0	20101.8	20009.5	20043.5	20086.5	20107.3	20143.6	17821.8	
128k	19096.4	19018.1	19209.8	19281.8	19254.6	18767.6	19346.7	19244.3	19357.6	19092.2	18819.9	19447.3	19421.1	19483.2	19525.0	18942.6	19605.8	19551.0	19589.7	19438.8	19660.8	19789.5	19764.1	19932.0	19837.9	19903.0	19770.9	20038.4	20042.7	20096.8	20170.8	17675.5	20217.5	20307.5	20344.5	20280.4	20165.4	20404.3	20392.4	20432.4	20299.6	20521.5	20562.2	20676.1	20682.9	20789.9	20774.1	20727.0	20784.6	20817.5	20625.5	18967.9	20664.0	20973.0	20993.2	20776.4	20740.9	21186.5	21206.0	21355.9	21326.8	21377.7	21412.2	17096.1	
