Clock frequency is approx. 2432.5 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	16776.9	14059.0	10824.4	9766.0	8625.3	8051.1	7184.0	6591.9	6493.7	5416.5	5467.1	5487.9	5021.1	5161.9	5220.4	3649.8	4906.8	4718.9	4697.0	5026.6	5204.7	4512.7	4559.6	5468.2	4451.4	4422.7	4515.6	4542.6	4331.0	4376.2	4659.3	2820.2	4451.7	4391.7	4460.3	4575.2	4526.1	4524.5	4490.4	5698.4	4593.9	4679.9	4919.7	5020.6	4693.7	4738.6	5065.0	3898.9	5020.2	4456.2	4503.2	4846.7	4747.6	4826.3	4712.7	8184.8	4835.0	4880.0	4793.5	4839.9	4450.7	4515.6	5581.6	3869.9	
16m	18856.7	20284.5	20141.6	17803.9	14230.6	11953.7	10526.7	9136.6	8372.3	7696.5	7063.5	6991.7	6461.9	6193.5	5915.3	4661.4	5406.8	5371.7	5251.6	5437.0	5178.4	4954.9	4992.3	6060.5	5106.0	5075.8	5075.2	5084.6	5103.1	5021.1	5116.9	3813.3	5054.7	4871.8	4916.3	5145.6	5059.8	5075.9	4996.3	6301.9	5032.4	5221.2	5554.3	5508.1	5326.4	5196.8	5926.9	4510.0	6023.1	5159.0	5259.0	5656.0	5552.2	5604.0	5382.3	12280.2	5531.1	5642.8	5674.2	5593.0	5267.3	5259.3	7333.0	4439.9	
8m	20871.0	20778.6	20803.7	18754.1	14906.0	12342.4	10609.3	9300.8	8471.3	7792.8	7205.0	6880.9	6385.3	6171.2	5954.7	4782.3	5557.3	5376.6	5292.0	5442.0	5434.0	5185.9	5203.6	6167.2	5110.2	5034.3	5054.7	5160.3	4989.0	4917.7	5177.6	3775.7	5268.3	5281.4	5446.2	5842.4	6501.4	7506.3	20712.2	20788.6	20752.6	20735.7	10006.5	21175.1	20825.2	20803.5	20805.8	4452.6	20798.8	20793.0	20808.3	20800.8	20809.9	20777.1	20813.7	20763.5	20790.1	20803.9	20746.8	20777.6	20806.9	20781.5	20746.3	4397.4	
4m	21271.6	20853.3	20832.7	18201.7	14504.6	11877.4	10112.4	9056.1	8200.9	7364.8	6881.8	6623.3	6243.3	6185.3	6127.6	4532.1	6597.4	6799.8	7340.3	11366.5	21897.4	20872.0	20861.2	20850.9	20858.9	20793.1	20866.6	20846.6	20829.7	20859.1	20813.0	4321.7	20851.8	20834.2	20857.4	20852.4	20829.8	20837.3	20833.4	20831.8	20846.5	20828.1	20833.1	20809.3	20836.6	20831.7	20842.6	20743.0	20815.4	20800.4	20806.1	20826.1	20813.1	20817.2	20810.2	20781.2	20784.1	20787.7	21997.7	21983.7	22018.9	21996.8	21988.6	5189.0	
2m	21748.2	21707.3	21608.5	20536.7	21836.9	21969.5	21859.0	21873.0	21850.8	22078.8	22069.9	21901.5	22070.2	22060.8	21996.5	21541.2	22054.6	20844.7	20824.4	20799.5	20828.1	20833.6	20823.9	20846.8	20838.7	20821.7	20826.4	20805.0	20795.1	20808.1	20806.5	19464.7	21964.3	21999.5	21953.6	21969.4	21982.0	21953.3	21994.7	20723.2	20754.3	20783.6	20740.0	20766.2	20728.0	20779.0	20709.4	20620.0	20763.5	20699.2	20747.6	20709.3	20756.7	20725.8	20735.8	20698.6	20692.8	20748.2	20669.5	20721.6	20633.3	20720.0	20688.0	19160.6	
1024k	20859.3	20852.3	20841.2	20767.4	20715.1	20864.2	20696.2	20840.1	20826.4	20859.0	20781.3	20830.4	20821.7	20814.5	20813.2	20714.1	20806.6	20814.1	20758.4	20773.9	20744.6	20762.5	20771.2	20752.9	20753.9	20726.8	20734.9	20731.6	20679.9	20731.7	20626.5	20052.3	20649.9	20643.4	20703.2	20638.3	20626.7	20678.5	20630.9	20602.7	20654.4	20642.3	20567.4	20585.5	20640.8	20605.3	20556.4	20390.6	20615.0	20519.7	20530.4	20591.5	20601.2	20536.6	20502.0	20544.0	20573.9	20548.9	20488.3	20486.9	20566.7	20487.2	20458.0	19545.9	
512k	20825.1	20876.9	20834.5	20856.4	20802.9	20838.6	20795.5	22021.8	21996.7	21935.1	21970.4	21890.0	21970.9	21876.7	21856.2	21778.1	21820.3	21881.2	21871.1	21807.6	21782.5	21858.5	21795.9	21768.9	21753.5	21789.8	21746.9	21698.9	21683.8	21677.9	21697.4	20866.0	21625.7	21581.7	21598.3	21600.3	21608.8	21610.5	21569.9	21498.8	21585.2	21535.3	21553.0	21580.9	21533.9	21507.5	21501.2	21119.0	21490.7	21486.7	20960.6	20318.5	20374.5	20254.8	20250.3	20260.7	20229.7	20153.4	20144.6	21297.7	21353.3	21227.2	21241.6	20251.0	
256k	22043.9	22069.1	22014.9	22024.9	21995.7	21976.0	21939.9	21909.8	21928.6	21897.5	21825.6	21786.7	21838.3	21802.8	21766.7	21496.2	21706.6	21786.2	21708.4	21615.4	21627.4	21597.0	21591.2	21582.2	21595.9	21550.5	21568.1	21504.3	21451.0	21383.4	21403.9	20148.6	21325.9	21458.3	21356.3	21338.6	21352.9	21293.6	21287.5	21197.0	21186.6	21262.2	21213.9	21340.8	21148.2	21225.7	21263.4	20249.8	21260.5	21287.4	21227.5	21251.7	21218.9	21046.9	21194.3	21203.9	20949.5	21098.7	21191.3	21003.1	20988.8	21118.3	21042.9	18834.6	
128k	22056.9	22034.0	21962.3	21909.8	21927.6	21822.5	21761.1	21742.5	21746.1	21703.7	21677.8	21599.8	21512.6	21504.3	21383.4	20671.2	21360.5	21416.0	21347.8	21253.5	21292.0	21215.8	21193.2	21288.2	21076.3	21105.4	20897.9	21125.3	21058.3	21086.5	21075.0	18942.0	21044.5	20978.2	20936.2	20932.1	20912.4	20869.8	20850.0	20860.9	20786.8	20623.3	20710.2	20579.5	20531.7	20564.3	20613.4	20559.5	20518.9	20500.2	20363.2	20365.1	20461.1	20427.9	20482.8	20401.6	20262.0	20276.8	20158.9	20277.0	20251.9	20087.1	20077.7	16773.6	
64k	22034.0	21909.8	21804.6	21742.5	21703.7	21634.9	21545.0	21449.9	21312.9	21197.0	21153.8	21085.5	21251.7	21125.3	21086.5	20169.0	20978.2	20932.1	20869.8	20752.2	20736.0	20579.5	20625.5	20559.5	20500.2	20365.1	20427.9	20401.6	20351.9	20199.9	20245.3	16661.4	19952.5	20031.7	19798.4	19942.1	19761.2	19688.4	19647.1	19436.2	19533.3	19460.0	19409.0	19578.3	19353.6	19351.2	19376.6	19082.5	19244.1	19312.5	19294.8	18919.4	19028.9	19036.2	19059.9	18723.8	18884.7	18682.2	18881.6	18446.4	18660.7	18365.3	18331.8	16830.2	
