num_pages,size_KB,sequential_cycles,random_cycles
1,4.0,202.0,26.6
2,8.0,67.4,19.5
4,16.0,9.8,10.9
8,32.0,4.2,5.0
16,64.0,2.6,2.7
32,128.0,1.9,2.0
48,192.0,1.7,1.8
64,256.0,1.5,1.5
80,320.0,2.2,2.2
96,384.0,1.5,1.6
112,448.0,2.3,2.4
128,512.0,1.4,1.4
160,640.0,1.3,1.5
192,768.0,1.3,1.3
224,896.0,1.3,1.3
256,1024.0,1.3,1.3
320,1280.0,2.4,3.6
384,1536.0,3.4,4.6
448,1792.0,5.2,6.4
512,2048.0,3.3,2.4
640,2560.0,4.3,3.6
768,3072.0,6.1,5.2
896,3584.0,6.2,5.7
1024,4096.0,5.8,5.0
1280,5120.0,6.8,5.1
1536,6144.0,5.6,5.0
1792,7168.0,5.5,5.1
2048,8192.0,5.5,5.2
2560,10240.0,9.5,7.6
3072,12288.0,10.1,8.2
3584,14336.0,10.2,8.6
4096,16384.0,10.3,8.6
5120,20480.0,11.0,8.8
6144,24576.0,10.5,8.8
7168,28672.0,10.1,8.9
8192,32768.0,10.1,9.6
