num_pages,size_KB,sequential_cycles,random_cycles
1,4.0,30.2,27.0
2,8.0,40.8,18.3
4,16.0,28.1,11.9
8,32.0,4.9,4.8
16,64.0,2.3,2.9
32,128.0,4.2,3.7
48,192.0,2.4,2.6
64,256.0,2.7,3.5
80,320.0,2.8,2.6
96,384.0,3.0,2.3
112,448.0,2.4,1.9
128,512.0,2.0,1.6
160,640.0,2.3,2.3
192,768.0,2.1,2.6
224,896.0,1.9,1.6
256,1024.0,1.9,1.6
320,1280.0,1.8,2.0
384,1536.0,1.8,1.7
448,1792.0,1.8,1.6
512,2048.0,2.0,4.2
640,2560.0,22.1,20.2
768,3072.0,25.4,28.7
896,3584.0,31.3,15.1
1024,4096.0,16.9,16.2
1280,5120.0,18.0,17.7
1536,6144.0,18.5,18.0
1792,7168.0,19.6,18.4
2048,8192.0,19.9,19.6
2560,10240.0,21.6,21.0
3072,12288.0,21.3,21.4
3584,14336.0,21.1,22.1
4096,16384.0,21.6,21.1
5120,20480.0,22.4,21.5
6144,24576.0,21.8,18.2
7168,28672.0,9.7,9.5
8192,32768.0,10.8,11.1
